Branch;Employee name;End node ID;End node level;Hide previous levels;Is excessive span;Is manager?;Manager name;Org Name;Path;Start node ID;Start node level;Team;Curve;Curve (demo);Headcount;Number of reports;P1;P1 (Alt);P1 (param);P2;P2 (Alt);P2 (param);Sigmoid Function;Sigmoid Function (demo);T;T2;Top line direct reports
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,98392795;14,99505475;1;;15;29;29;13;22,5;22,5;0,002472623;0,002472623;-6;18;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,97937756;14,99365463;1;;15;29;29;13;22,5;22,5;0,003172683;0,003172683;-5,75;18,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,97354411;14,99185973;1;;15;29;29;13;22,5;22,5;0,004070138;0,004070138;-5,5;18,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,96606918;14,98955975;1;;15;29;29;13;22,5;22,5;0,005220126;0,005220126;-5,25;18,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,95649647;14,9866143;1;;15;29;29;13;22,5;22,5;0,006692851;0,006692851;-5;19;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,94424635;14,98284503;1;;15;29;29;13;22,5;22,5;0,008577485;0,008577485;-4,75;19,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,92858487;14,97802612;1;;15;29;29;13;22,5;22,5;0,010986943;0,010986943;-4,5;19,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,90858642;14,97187275;1;;15;29;29;13;22,5;22,5;0,014063627;0,014063627;-4,25;19,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,88308964;14,96402758;1;;15;29;29;13;22,5;22,5;0,01798621;0,01798621;-4;20;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,8506471;14,95404526;1;;15;29;29;13;22,5;22,5;0,02297737;0,02297737;-3,75;20,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,8094705;14,94137554;1;;15;29;29;13;22,5;22,5;0,029312231;0,029312231;-3,5;20,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,75737523;14,92534623;1;;15;29;29;13;22,5;22,5;0,037326887;0,037326887;-3,25;20,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,69173182;14,90514825;1;;15;29;29;13;22,5;22,5;0,047425873;0,047425873;-3;21;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,60943677;14,8798267;1;;15;29;29;13;22,5;22,5;0,06008665;0,06008665;-2,75;21,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,50692183;14,84828364;1;;15;29;29;13;22,5;22,5;0,07585818;0,07585818;-2,5;21,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,38022848;14,80930107;1;;15;29;29;13;22,5;22,5;0,095349465;0,095349465;-2,25;21,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,22518101;14,76159416;1;;15;29;29;13;22,5;22,5;0,119202922;0,119202922;-2;22;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;28,03769321;14,7039056;1;;15;29;29;13;22,5;22,5;0,148047198;0,148047198;-1,75;22,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;27,8142341;14,63514895;1;;15;29;29;13;22,5;22,5;0,182425524;0,182425524;-1,5;22,5;5
