Branch;Employee name;End node ID;End node level;Manager name;Org Name;Path;Start node ID;Start node level;Team;Number of reports;P1;P1 (Alt);P2;P2 (Alt);T;T2;Top line direct reports
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-6;18;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-5,75;18,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-5,5;18,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-5,25;18,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-5;19;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-4,75;19,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-4,5;19,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-4,25;19,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-4;20;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-3,75;20,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-3,5;20,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-3,25;20,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-3;21;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-2,75;21,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-2,5;21,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-2,25;21,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-2;22;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-1,75;22,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-1,5;22,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-1,25;22,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-1;23;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-0,75;23,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-0,5;23,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;-0,25;23,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;0;24;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;0,25;24,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;0,5;24,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;0,75;24,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;1;25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;1,25;25,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;1,5;25,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;1,75;25,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;2;26;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;2,25;26,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;2,5;26,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;2,75;26,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;3;27;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;3,25;27,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;3,5;27,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;3,75;27,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;4;28;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;4,25;28,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;4,5;28,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;4,75;28,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;5;29;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;5,25;29,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;5,5;29,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;5,75;29,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;;15;29;13;22,5;6;30;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-6;6;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-5,75;6,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-5,5;6,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-5,25;6,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-5;7;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-4,75;7,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-4,5;7,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-4,25;7,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-4;8;5
